Name EN,States Names,Region,Category,Danger,Danger list,Date inscribed,Coordinates
Wooden Hypostyle Mosques of Medieval Anatolia,Türkiye,Europe and North America,Cultural,False,,2023,"38.7550361111, 30.529575"
Kunya-Urgench,Turkmenistan,Asia and the Pacific,Cultural,False,,2005,"42.18318, 59.08494"
Selimiye Mosque and its Social Complex,Türkiye,Europe and North America,Cultural,False,,2011,"41.6777777778, 26.5594444444"
Parthian Fortresses of Nisa,Turkmenistan,Asia and the Pacific,Cultural,False,,2007,"37.9997222222, 58.1986111111"
"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church",United Kingdom of Great Britain and Northern Ireland,Europe and North America,Cultural,False,,1988,"51.28, 1.083333333"
Blaenavon Industrial Landscape,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Cultural,False,,2000,"51.77638889, -3.088055556"
Durham Castle and Cathedral,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Cultural,False,,1986,"54.77472222, -1.576111111"
Gorham's Cave Complex,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Cultural,False,,2016,"36.1226694444, -5.3420611111"
Heart of Neolithic Orkney,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Cultural,False,,1999,"58.99605556, -3.188666667"
Giant's Causeway and Causeway Coast,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Natural,False,,1986,"55.2408333333, -6.5116666667"
Jodrell Bank Observatory,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Cultural,False,,2019,"53.2339166667, -2.3038611111"
New Lanark,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Cultural,False,,2001,"55.66333333, -3.783055556"
Old and New Towns of Edinburgh,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Cultural,False,,1995,"55.95, -3.216666667"
Palace of Westminster and Westminster Abbey including Saint Margaret’s Church,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Cultural,False,,1987,"51.499, -0.127"
Saltaire,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Cultural,False,,2001,"53.83916667, -1.788333333"
The Forth Bridge,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Cultural,False,,2015,"56.0011111111, -3.3888888889"
Tower of London,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Cultural,False,,1988,"51.50805556, -0.076111111"
Kilimanjaro National Park,United Republic of Tanzania,Africa,Natural,False,,1987,"-3.06667, 37.36667"
